date,equity,pnl,return_pct,exposure_pct
2026-08-17,1266239.02,17523.41,1.403,84.96
2026-08-18,1256183.77,-10055.25,-0.794,82.73
2026-08-19,1192913.51,-63270.26,-5.037,57.86
2026-08-20,1176588.77,-16324.74,-1.368,67.73
2026-08-21,1168701.14,-7887.63,-0.67,74.91
2026-08-24,1145747.49,-22953.65,-1.964,49.42
2026-08-25,1145723.76,-23.73,-0.002,77.08
2026-08-26,1129101.18,-16622.58,-1.451,75.61
2026-08-27,1132898.82,3797.64,0.336,78.42
2026-08-28,1143117.28,10218.46,0.902,95.27
2026-08-31,1133964.21,-9153.07,-0.801,86.83
2026-09-01,1134691.54,727.33,0.064,93.29
2026-09-02,1117560.46,-17131.08,-1.51,86.44
2026-09-03,1114291.87,-3268.59,-0.292,95.32
2026-09-04,1101988.43,-12303.44,-1.104,94.29
2026-09-07,1092162.93,-9825.5,-0.892,94.17
2026-09-08,1085903.0,-6259.93,-0.573,86.82
2026-09-09,1092225.24,6322.24,0.582,92.84
2026-09-10,1073249.19,-18976.05,-1.737,77.53
