code,name,pnl,start_value,end_value
000949,新乡化纤,-6993.95,109900.0,0
300866,安克创新,-5962.21,0,0
002837,英维克,-5791.67,0,0
002772,众兴菌业,-4858.24,86472.0,0
300624,万兴科技,-4184.82,0,0
002258,利尔化学,-3734.41,0,0
002541,鸿路钢构,-3723.06,89040.0,0
603012,创力集团,-3294.14,89440.0,0
002787,华源控股,-2987.96,0,0
300803,指南针,-2842.21,0,0
600999,招商证券,-2617.67,99163.0,0
600186,莲花控股,-2443.28,0,0
300802,矩子科技,-2430.93,0,0
300408,三环集团,-2349.41,0,82390.0
600875,东方电气,-2214.87,0,0
600026,中远海能,-2164.77,0,0
603228,景旺电子,-2076.02,0,0
601319,中国人保,-1708.35,0,0
002920,德赛西威,-1638.08,92350.0,0
601886,江河集团,-1622.71,51338.0,0
300179,四方达,-1603.98,0,0
603269,海鸥股份,-1603.25,0,0
002171,楚江新材,-1300.22,0,82800.0
301598,博科测试,-1226.66,79320.0,0
002479,富春环保,-1175.71,94710.0,63024.0
000672,上峰材料,-1169.95,0,0
300619,金银河,-1034.67,0,0
600590,泰豪科技,-965.3,0,83378.0
600862,中航高科,-718.72,0,0
000400,许继电气,-626.87,0,0
000507,珠海港,-347.12,0,83398.0
002128,电投能源,-304.04,90985.0,0
603856,东宏股份,-126.18,0,0
601665,齐鲁银行,134.88,89838.0,0
301208,中亦科技,529.96,0,0
002281,光迅科技,1135.17,0,0
603321,梅轮电梯,1570.66,0,86070.0
600710,苏美达,2074.53,0,87000.0
300308,中际旭创,3182.26,0,89010.0
000768,中航西飞,3344.0,85956.0,89300.0
600150,中国船舶,4427.62,0,85722.0
